country,sftgcode,forecast.year,mean_p,rf.p,threat.p,harff.p,year,imr.normed.ln,mev.regac.ln,postcw,cou.tries5d,pol.cat.fl2,pol.cat.fl3,pol.cat.fl7,pol.durable.ln,gdppcgrow.sr,mev.civtot.ln,ios.iccpr1,wdi.popsize.ln,coup.p,cwar.p,reg.eap,reg.eur,reg.mna,reg.sca,reg.amr,pol.cat.pitf2,pol.cat.pitf3,pol.cat.pitf4,pol.cat.pitf5,pol.cat.pitf6,dis.l4pop.ln,pitf.p,mkl.ever,pit.sftpuhvl2.10.ln,pol.autoc,elc.eliti,elc.elethc,wdi.trade.ln,reg.afr,mkl.ongoing,countryage.ln,pol.cat.fl1,elf.ethnicc1,elf.ethnicc2,elf.ethnicc3,elf.ethnicc9,elc.eleth1,elc.eleth2,date,mean_pPER,rf.pPER,threat.pPER,harff.pPER,imr.normed.lnPER,mev.regac.lnPER,postcwPER,cou.tries5dPER,pol.cat.fl2PER,pol.cat.fl3PER,pol.cat.fl7PER,pol.durable.lnPER,gdppcgrow.srPER,mev.civtot.lnPER,ios.iccpr1PER,wdi.popsize.lnPER,coup.pPER,cwar.pPER,reg.eapPER,reg.eurPER,reg.mnaPER,reg.scaPER,reg.amrPER,pol.cat.pitf2PER,pol.cat.pitf3PER,pol.cat.pitf4PER,pol.cat.pitf5PER,pol.cat.pitf6PER,dis.l4pop.lnPER,pitf.pPER,mkl.everPER,pit.sftpuhvl2.10.lnPER,pol.autocPER,elc.elitiPER,elc.elethcPER,wdi.trade.lnPER,reg.afrPER,mkl.ongoingPER,countryage.lnPER,pol.cat.fl1PER,elf.ethnicc1PER,elf.ethnicc2PER,elf.ethnicc3PER,elf.ethnicc9PER,elc.eleth1PER,elc.eleth2PER
Ethiopia,ETI,2016,0.030464166,0.03,0.028032144,0.033360356,2015,1.029919256,2.197224577,1,0,1,0,0,2.397895273,2.909397146,0.693147181,0,11.50681685,0.047459197,0.060255413,0,0,0,0,0,1,0,0,0,0,1.945910149,0.068856034,1,2.944438979,1,0,1,3.707237074,1,0,7.657282793,0,0,0,1,0,0,1,4/8/17,0.925,0.925,0.913,0.968,0.819,0.211,0,0,0.745,0,0,0.273,1,0.832,0,0.925,0.826,0.931,0,0,0,0,0,0.906,0,0,0,0,0.832,0.826,0.608,0.869,0.757,0,0.683,0.08,0.72,0,0.993,0,0,0,0.683,0,0,0.931
South Sudan,SSD,2016,0.030191802,0.034,0.03588532,0.020690087,2015,1.248216908,2.995732274,1,0,0,0,1,0,-2.107489646,1.791759469,0,9.420601297,0.084849087,0.052556022,0,0,0,0,0,0,0,0,0,1,0,0.056691625,1,0,0,0,1,3.992013967,1,1,1.609437912,0,0,0,0,1,0,1,4/8/17,0.919,0.937,0.95,0.894,0.906,0.782,0,0,0,0,0.962,0,0.055,0.962,0,0.546,0.931,0.925,0,0,0,0,0,0,0,0,0,0.962,0,0.776,0.608,0,0,0,0.683,0.223,0.72,0.956,0,0,0,0,0,0.975,0,0.931
Turkey,TUR,2016,0.029776175,0.026,0.014532726,0.0487958,2015,-0.009756175,2.995732274,1,0,1,0,0,0.693147181,1.650656199,1.098612289,1,11.24920728,0.025158395,0.045773941,0,1,0,0,0,0,1,0,0,0,3.091042453,0.146979545,1,3.465735903,0,0,1,4.093018838,0,0,4.532599493,0,0,1,0,0,1,0,4/8/17,0.913,0.906,0.813,0.981,0.496,0.782,0,0,0.745,0,0,0.074,0.689,0.881,0.354,0.888,0.658,0.9,0,0.751,0,0,0,0,0.869,0,0,0,0.925,0.981,0.608,0.95,0,0,0.683,0.291,0,0,0.645,0,0,0.652,0,0,0.757,0
Bangladesh,BNG,2016,0.024584938,0.006,0.038348563,0.029406251,2015,0.838903465,3.091042453,1,0,1,0,0,0.693147181,2.304457878,0,0,11.9891348,0.046623704,0.086643376,0,0,0,1,0,0,1,0,0,0,2.48490665,0.158384023,1,1.386294361,0,0,0,3.795805548,0,0,3.80666249,0,1,0,0,0,0,0,4/8/17,0.906,0.776,0.956,0.962,0.732,0.813,0,0,0.745,0,0,0.074,0.925,0,0,0.956,0.819,1,0,0,0,0.931,0,0,0.869,0,0,0,0.875,0.987,0.608,0.782,0,0,0,0.118,0,0,0.242,0,0.708,0,0,0,0,0
Sri Lanka,SRI,2016,0.024223491,0.046,0.001684336,0.024986136,2015,-0.772577813,3.091042453,1,0,0,1,0,0,2.114044913,0,1,9.946355453,0.010627047,0.008086652,0,0,0,1,0,0,1,0,0,0,2.63905733,0.051137617,1,2.708050201,0,0,1,3.836520308,0,0,3.784189634,0,0,1,0,0,1,0,4/8/17,0.9,0.956,0.416,0.937,0.304,0.813,0,0,0,0.434,0,0,0.894,0,0.354,0.652,0.378,0.447,0,0,0,0.931,0,0,0.869,0,0,0,0.888,0.739,0.608,0.838,0,0,0.683,0.136,0,0,0.236,0,0,0.652,0,0,0.757,0
Egypt,EGY,2016,0.023948089,0.03,0.030240133,0.011604132,2015,0.123046282,2.944438979,1,1,1,0,0,1.098612289,1.466589301,0.693147181,1,11.42418168,0.068805219,0.050363159,0,0,1,0,0,0,0,0,0,0,0,0.01892804,0,2.944438979,1,1,1,3.622038778,0,1,4.143134726,0,1,0,0,0,1,0,4/8/17,0.894,0.925,0.931,0.701,0.546,0.77,0,0.913,0.745,0,0,0.13,0.59,0.832,0.354,0.913,0.9,0.919,0,0,0.894,0,0,0,0,0,0,0,0,0.44,0,0.869,0.757,0.919,0.683,0.049,0,0.956,0.546,0,0.708,0,0,0,0.757,0
Guinea,GUI,2016,0.020572434,0,0.035203016,0.026514285,2015,1.031042852,2.772588722,1,1,1,0,0,1.098612289,-1.515702211,0,1,9.442166124,0.135392336,0.036907082,0,0,0,0,0,0,1,0,0,0,0,0.103398303,1,0,0,0,1,4.389765274,1,0,4.060443011,0,0,0,1,0,0,1,4/8/17,0.888,0,0.944,0.944,0.826,0.658,0,0.913,0.745,0,0,0.13,0.086,0,0.354,0.552,0.962,0.832,0,0,0,0,0,0,0.869,0,0,0,0,0.95,0.608,0,0,0,0.683,0.496,0.72,0,0.509,0,0,0,0.683,0,0,0.931
Tanzania,TAZ,2016,0.020194135,0.014,0.030161069,0.016421334,2015,0.800526125,3.218875825,1,0,1,0,0,0,2.206912406,0,0,10.88687603,0.050639594,0.062432705,0,0,0,0,0,0,1,0,0,0,0,0.084157214,1,0,0,0,0,3.899411942,1,0,4.007333185,0,0,0,1,0,0,0,4/8/17,0.881,0.881,0.925,0.819,0.714,0.894,0,0,0.745,0,0,0,0.906,0,0,0.844,0.832,0.95,0,0,0,0,0,0,0.869,0,0,0,0,0.894,0.608,0,0,0,0,0.167,0.72,0,0.378,0,0,0,0.683,0,0,0
Ukraine,UKR,2016,0.019788038,0.027,0.008029168,0.024334947,2015,-0.85299938,2.079441542,1,1,1,0,0,3.218875825,-3.111288075,1.098612289,1,10.71790059,0.035321854,0.018795688,0,1,0,0,0,0,1,0,0,0,3.135494216,0.088452352,0,2.197224577,0,0,1,4.628839669,0,0,3.218875825,0,0,1,0,0,1,0,4/8/17,0.875,0.913,0.708,0.931,0.267,0.204,0,0.913,0.745,0,0,0.565,0.018,0.881,0.354,0.813,0.739,0.645,0,0.751,0,0,0,0,0.869,0,0,0,0.937,0.913,0,0.826,0,0,0.683,0.701,0,0,0.049,0,0,0.652,0,0,0.757,0
Cameroon,CAO,2016,0.015575327,0.003,0.016932402,0.026793579,2015,1.034779079,2.708050201,1,0,1,0,0,3.17805383,1.813756347,0.693147181,1,10.05809527,0.032929635,0.0447233,0,0,0,0,0,1,0,0,0,0,3.044522438,0.083611681,0,0,1,0,1,3.968146559,1,0,4.025351691,0,0,0,1,0,0,1,4/8/17,0.869,0.621,0.832,0.95,0.832,0.633,0,0,0.745,0,0,0.534,0.745,0.832,0.354,0.67,0.726,0.894,0,0,0,0,0,0.906,0,0,0,0,0.919,0.888,0,0,0.757,0,0.683,0.211,0.72,0,0.397,0,0,0,0.683,0,0,0.931
India,IND,2016,0.015011336,0.016,0.017431259,0.011602749,2015,0.785806011,2.708050201,1,0,0,1,0,4.189654742,2.437648494,2.079441542,0,14.08633966,0.022610622,0.060310846,0,0,0,1,0,0,0,1,0,0,0,0.035101822,1,3.583518938,0,0,0,3.88575026,0,0,4.234106505,0,0,1,0,0,0,0,4/8/17,0.863,0.894,0.838,0.695,0.708,0.633,0,0,0,0.434,0,0.875,0.956,1,0,0.993,0.621,0.937,0,0,0,0.931,0,0,0,0.664,0,0,0,0.596,0.608,0.975,0,0,0,0.155,0,0,0.602,0,0,0.652,0,0,0,0
Rwanda,RWA,2016,0.014814173,0.005,0.01746777,0.021974751,2015,1.116383984,3.218875825,1,0,1,0,0,3.091042453,2.022953147,0,0,9.359622075,0.035807272,0.043608544,0,0,0,0,0,0,0,0,0,0,4.406719247,0.0545617,1,0,1,0,1,3.817306452,1,0,3.988984047,0,0,1,0,0,0,1,4/8/17,0.857,0.732,0.844,0.906,0.863,0.894,0,0,0.745,0,0,0.484,0.888,0,0,0.54,0.751,0.881,0,0,0,0,0,0,0,0,0,0,0.987,0.751,0.608,0,0.757,0,0.683,0.124,0.72,0,0.341,0,0,0.652,0,0,0,0.931
Uganda,UGA,2016,0.014584492,0.007,0.025014487,0.011738988,2015,1.133760912,3.218875825,1,0,1,0,0,2.397895273,1.406629151,0,1,10.5721371,0.035381985,0.065405718,0,0,0,0,0,1,0,0,0,0,0,0.044233488,1,1.098612289,1,0,0,3.846429548,1,0,3.988984047,0,0,0,1,0,0,0,4/8/17,0.85,0.801,0.9,0.714,0.875,0.894,0,0,0.745,0,0,0.273,0.559,0,0.354,0.788,0.745,0.968,0,0,0,0,0,0.906,0,0,0,0,0,0.689,0.608,0.77,0.757,0,0,0.142,0.72,0,0.341,0,0,0,0.683,0,0,0
Ivory Coast,IVO,2016,0.014141198,0.002,0.020726472,0.019697121,2015,1.125110192,2.772588722,1,0,1,0,0,1.609437912,2.419463172,0,1,10.03020831,0.042237035,0.046834076,0,0,0,0,0,0,1,0,0,0,0,0.1105695,1,2.944438979,0,0,0,4.416442724,1,0,4.025351691,0,0,0,1,0,0,0,4/8/17,0.844,0.571,0.875,0.875,0.869,0.658,0,0,0.745,0,0,0.18,0.944,0,0.354,0.664,0.801,0.906,0,0,0,0,0,0,0.869,0,0,0,0,0.962,0.608,0.869,0,0,0,0.534,0.72,0,0.397,0,0,0,0.683,0,0,0
Burkina Faso,BFO,2016,0.01380028,0.012,0.019593304,0.009807538,2015,1.374416169,2.772588722,1,1,0,1,0,0,1.061797138,0,1,9.803998654,0.139204736,0.018865768,0,0,0,0,0,0,0,1,0,0,0,0.049933584,0,0,0,0,0,4.168421891,1,0,4.025351691,0,0,0,1,0,0,0,4/8/17,0.838,0.857,0.869,0.652,0.95,0.658,0,0.913,0,0.434,0,0,0.44,0,0.354,0.633,0.975,0.652,0,0,0,0,0,0,0,0.664,0,0,0,0.72,0,0,0,0,0,0.341,0.72,0,0.397,0,0,0,0.683,0,0,0
Mauritania,MAA,2016,0.013513697,0.004,0.012562485,0.023978604,2015,1.054168478,2.397895273,1,0,1,0,0,1.945910149,-0.646009297,0,0,8.310906757,0.055133358,0.022345479,0,0,0,0,0,1,0,0,0,0,3.737669618,0.100876845,0,1.386294361,1,0,1,4.771003653,1,0,4.025351691,0,0,1,0,0,0,1,4/8/17,0.832,0.677,0.795,0.925,0.838,0.596,0,0,0.745,0,0,0.204,0.161,0,0,0.223,0.869,0.714,0,0,0,0,0,0.906,0,0,0,0,0.975,0.944,0,0.782,0.757,0,0.683,0.813,0.72,0,0.397,0,0,0.652,0,0,0,0.931
Chad,CHA,2016,0.013136866,0.004,0.021539469,0.013871127,2015,1.537817609,2.397895273,1,0,1,0,0,3.17805383,-0.844192771,0,1,9.54945198,0.051700375,0.042331503,0,0,0,0,0,1,0,0,0,0,0,0.064696689,1,2.63905733,1,0,0,4.338943272,1,0,4.025351691,0,0,0,1,0,0,0,4/8/17,0.826,0.677,0.894,0.77,0.968,0.596,0,0,0.745,0,0,0.534,0.149,0,0.354,0.559,0.85,0.875,0,0,0,0,0,0.906,0,0,0,0,0,0.813,0.608,0.832,0.757,0,0,0.465,0.72,0,0.397,0,0,0,0.683,0,0,0
Iran,IRN,2016,0.012383415,0.008,0.018710692,0.010439553,2015,0.691308703,3.496507561,1,0,0,0,0,2.48490665,-1.110980257,0,0,11.27858193,0.023849049,0.062782618,0,0,1,0,0,0,0,0,0,0,2.606386547,0.050149529,1,0,1,1,0,3.762664246,0,0,6.244166901,1,0,0,1,0,0,0,4/8/17,0.819,0.819,0.857,0.677,0.683,1,0,0,0,0,0,0.291,0.13,0,0,0.9,0.652,0.956,0,0,0.894,0,0,0,0,0,0,0,0.881,0.726,0.608,0,0.757,0.919,0,0.105,0,0,0.944,0.875,0,0,0.683,0,0,0
Haiti,HAI,2016,0.012073845,0.008,0.018861,0.009360533,2015,0.923454723,2.197224577,1,0,0,0,1,0,-0.557447504,0,0,9.27902653,0.062142444,0.032079731,0,0,0,0,1,0,0,0,0,1,0,0.034043637,1,3.218875825,0,0,0,4.27344069,0,0,5.356586275,0,1,0,0,0,0,0,4/8/17,0.813,0.819,0.863,0.627,0.763,0.211,0,0,0,0,0.962,0,0.18,0,0,0.484,0.881,0.807,0,0,0,0,0.85,0,0,0,0,0.962,0,0.59,0.608,0.919,0,0,0,0.397,0,0,0.9,0,0.708,0,0,0,0,0
Zimbabwe,ZIM,2016,0.011789771,0.004,0.009725418,0.021643895,2015,0.314988848,1.945910149,1,0,1,0,0,1.098612289,0.625272426,0,0,9.655218482,0.039829574,0.021274982,0,0,0,0,0,0,1,0,0,0,0.693147181,0.076533367,1,0,0,0,1,4.376522546,1,0,3.583518938,0,0,1,0,0,1,0,4/8/17,0.807,0.677,0.757,0.9,0.608,0.136,0,0,0.745,0,0,0.13,0.279,0,0,0.577,0.77,0.677,0,0,0,0,0,0,0.869,0,0,0,0.763,0.863,0.608,0,0,0,0.683,0.478,0.72,0,0.18,0,0,0.652,0,0,0.757,0
Angola,ANG,2016,0.011512239,0.001,0.021161391,0.012375327,2015,1.412707082,1.945910149,1,0,1,0,0,2.944438979,-0.047135245,0,1,10.12751072,0.051890121,0.041402918,0,0,0,0,0,1,0,0,0,0,1.098612289,0.077865174,1,0,1,0,0,4.46218419,1,0,3.713572067,0,0,0,1,0,0,0,4/8/17,0.801,0.44,0.888,0.732,0.956,0.136,0,0,0.745,0,0,0.422,0.204,0,0.354,0.695,0.857,0.869,0,0,0,0,0,0.906,0,0,0,0,0.776,0.869,0.608,0,0.757,0,0,0.571,0.72,0,0.204,0,0,0,0.683,0,0,0
Cambodia,CAM,2016,0.010781612,0.006,0.014173316,0.012171518,2015,0.965493151,2.302585093,1,0,1,0,0,2.890371758,2.311353419,0,0,9.653614941,0.039017243,0.032606867,1,0,0,0,0,1,0,0,0,0,1.386294361,0.098771721,1,0,0,0,0,4.860054414,0,0,4.143134726,0,1,0,0,0,0,0,4/8/17,0.795,0.776,0.807,0.726,0.788,0.304,0,0,0.745,0,0,0.403,0.931,0,0,0.571,0.757,0.813,0.881,0,0,0,0,0.906,0,0,0,0,0.801,0.931,0.608,0,0,0,0,0.85,0,0,0.546,0,0.708,0,0,0,0,0
Papua New Guinea,PNG,2016,0.010208905,0.007,0.015649211,0.007977505,2015,0.704626566,2.302585093,1,1,1,0,0,3.713572067,2.512859268,0,0,8.938400406,0.075691525,0.022705555,1,0,0,0,0,0,0,1,0,0,0,0.054692758,1,0,0,0,0,4.875830032,0,0,3.713572067,0,1,0,0,0,0,0,4/8/17,0.788,0.801,0.819,0.565,0.689,0.304,0,0.913,0.745,0,0,0.745,0.975,0,0,0.397,0.913,0.726,0.881,0,0,0,0,0,0,0.664,0,0,0,0.757,0.608,0,0,0,0,0.857,0,0,0.204,0,0.708,0,0,0,0,0
Mozambique,MZM,2016,0.009854214,0,0.020855027,0.008707614,2015,1.304161217,1.945910149,1,0,1,0,0,3.091042453,1.845643631,0,0,10.23917377,0.051625437,0.040889238,0,0,0,0,0,0,0,1,0,0,0,0.051075706,1,0,0,0,0,4.560833766,1,0,3.713572067,0,0,0,1,0,0,0,4/8/17,0.782,0,0.881,0.614,0.925,0.136,0,0,0.745,0,0,0.484,0.77,0,0,0.714,0.844,0.863,0,0,0,0,0,0,0,0.664,0,0,0,0.732,0.608,0,0,0,0,0.633,0.72,0,0.204,0,0,0,0.683,0,0,0
Syria,SYR,2016,0.009846847,0.008,0.006518598,0.015021943,2015,-0.1994178,2.995732274,1,0,0,0,0,1.386294361,1.409378617,1.945910149,0,10.01462634,0.018640159,0.023582686,0,0,1,0,0,0,0,0,0,0,4.430816799,0.0399494,1,3.044522438,1,1,1,4.33698319,0,1,4.248495242,1,0,1,0,0,0,1,4/8/17,0.776,0.819,0.689,0.801,0.44,0.782,0,0,0,0,0,0.161,0.565,0.975,0,0.658,0.552,0.745,0,0,0.894,0,0,0,0,0,0,0,0.993,0.67,0.608,0.888,0.757,0.919,0.683,0.453,0,0.956,0.614,0.875,0,0.652,0,0,0,0.931
Kyrgyzstan,KYR,2016,0.009693068,0.003,0.002651924,0.02342728,2015,0.375185325,3.091042453,1,0,0,1,0,1.609437912,1.437302317,0,1,8.687779492,0.018206039,0.009024728,0,0,0,1,0,0,1,0,0,0,2.63905733,0.118722876,0,0,0,0,1,4.828488361,0,0,3.218875825,0,0,0,1,0,1,0,4/8/17,0.77,0.621,0.484,0.919,0.614,0.813,0,0,0,0.434,0,0.18,0.583,0,0.354,0.329,0.54,0.472,0,0,0,0.931,0,0,0.869,0,0,0,0.888,0.975,0,0,0,0,0.683,0.844,0,0,0.049,0,0,0,0.683,0,0.757,0
Libya,LIB,2016,0.00966421,0.013,0.005212296,0.010780335,2015,-0.506723143,2.708050201,1,0,0,0,1,0,-2.703061664,1.098612289,1,8.744806737,0.021489501,0.016711246,0,0,1,0,0,0,0,0,0,1,0,0.029634902,1,3.044522438,0,0,1,4.969017058,0,0,4.17438727,0,0,0,1,0,1,0,4/8/17,0.763,0.869,0.608,0.683,0.366,0.633,0,0,0,0,0.962,0,0.024,0.881,0.354,0.347,0.602,0.621,0,0,0.894,0,0,0,0,0,0,0.962,0,0.571,0.608,0.888,0,0,0.683,0.906,0,0,0.559,0,0,0,0.683,0,0.757,0
